Date,Clics,Impressions,CTR,Position
2026-02-01,0,54,0%,16.1
2026-02-02,0,67,0%,10.7
2026-02-03,2,52,3.85%,8
2026-02-04,1,52,1.92%,8.2
2026-02-05,0,55,0%,12.5
2026-02-06,1,70,1.43%,11.8
2026-02-07,0,60,0%,11
2026-02-08,0,39,0%,19.4
2026-02-09,4,70,5.71%,8.4
2026-02-10,2,53,3.77%,8.6
2026-02-11,3,69,4.35%,4.6
2026-02-12,3,101,2.97%,7.2
2026-02-13,2,59,3.39%,5.2
2026-02-14,4,58,6.9%,19
2026-02-15,6,59,10.17%,14.1
2026-02-16,7,67,10.45%,11.2
2026-02-17,2,65,3.08%,9.4
2026-02-18,2,68,2.94%,13.3
2026-02-19,3,73,4.11%,8.3
2026-02-20,0,62,0%,17.2
2026-02-21,2,53,3.77%,14.1
2026-02-22,0,42,0%,17.7
2026-02-23,1,91,1.1%,8.6
2026-02-24,1,90,1.11%,12.9
2026-02-25,0,79,0%,12.8
2026-02-26,2,70,2.86%,23.2
2026-02-27,0,79,0%,23.1
2026-02-28,0,59,0%,22.3
2026-03-01,0,51,0%,38.7